Base Form, Derived Words
flood, flood
flow, flow
flu, flu
fluctuate, fluctuate
fluent, fluent
fluid, fluid
flush, flush
fly, fly
foam, foam
focus, focus
focu, focus
fog, fog
final, final
finally, finally
fine, fine
finish, finish
fire, fire
fireman, fireman
fireplace, fireplace
fiscal, fiscal
fish, fish
fisherman, fisherman
★ fix, ★ fix
fixture, fixture
flame, flame
flap, flap
flare, flare
flash, flash
flat, flat
flatter, flatter
flavo(u)r, flavo(u)r
flee, flee
flesh, flesh
flight, flight
 fare,  fare
farewell, farewell
farther, farther
fast, fast
fasten, fasten
fate, fate
fatal, fatal
fatigue, fatigue
fault, fault
faulty, faulty
fax, fax
★ faint, ★ faint
faith, faith
faithful, faithful
★ fake, ★ fake
False, False
fame, fame
familiar, familiar
family, family
famine, famine
fantastic(al), fantastic(al)
fantasy, fantasy
★ fable, ★ fable
fabulou, fabulous
fabulous, fabulous
facilitate, facilitate
facility, facility
faculty, faculty
★ for, ★ for
forbid, forbid
forehead, forehead
foreign, foreign
foreigner, foreigner
forum, forum
forward, forward
foster, foster
foul, foul
foundation, foundation
fountain, fountain
fraction, fraction
fracture, fracture
fragile, fragile
fragment, fragment
fragrant, fragrant
fond, fond
fool, fool
foolish, foolish
foot, foot
footstep, footstep
foremost, foremost
forgive, forgive
forth, forth
forthcoming, forthcoming
forthcom, forthcoming
fortnight, fortnight
★ friendly, ★ friendly
friendship, friendship
fright, fright
frighten, frighten
fringe, fringe
frontier, frontier
frost, frost
frown ·, frown ·
fry, fry
fuel, fuel
fume, fume
funeral, funeral
fur, fur
furnish, furnish
further, further
furthermore, furthermore
fuse, fuse
fus, fuss
fuss, fuss
futile, futile
★frame, ★frame
framework, framework
franchise, franchise
frank, frank
fraud, fraud
freedom, freedom
freelance, freelance
freeze, freeze
freight, freight
frequency, frequency
frequent, frequent
fresh, fresh
friction, friction
fad, fad
fairness, fairness
fairnes, fairness
falsehood, falsehood
fearsome, fearsome
feverish, feverish
financially, financially
flagship, flagship
flexibility, flexibility
flexibly, flexibly
foe, foe
foreseeable, foreseeable
foresight, foresight, foresighted
foresighted, foresighted
fortnightly, fortnightly
founder, founder
framer, framer
frequently, frequently
fulfillment, fulfillment
fully, fully
functional, functional
fundamentally, fundamentally
funding, funding
futurologist, futurologist
 global,  global
globe, globe
gain, gain
gamble, gamble
gap, gap
gene, gene
general, general
generalize, generalize
★ glamo(u)r, ★ glamo(u)r
generate, generate
generation, generation
generator, generator
generou, generous
generous, generous
genius, genius
geniu, genius
gift, gift
genre, genre
giant, giant
gigantic, gigantic
give, give
guide, guide
guidance, guidance
guideline, guideline
guild, guild
guilt, guilt
guilty, guilty
goal, goal
goods, goods
good, goods
govern, govern
government, government
gradual, gradual
graduate, graduate
grand, grand
grant, grant
 governor,  governor
 grow,  grow
grown-up, grown-up
growth, growth
grim, grim
grasp, grasp
grip, grip
gros, gross
gross, gross
ground, ground
group, group
guarantee guard, guarantee guard
glide, glide
gloomy, gloomy
glory, glory
gloriou, glorious
glorious, glorious
glue, glue
☆ grapb, ☆ grapb
graphic, graphic
grateful, grateful
gratitude, gratitude
grave, grave
gravity, gravity
graze, graze
grease, grease
grief, grief
grieve, grieve
 grin,  grin
grind, grind
★ goat, ★ goat
gold, gold
golden, golden
grab, grab
grace, grace
graceful, graceful
gracious, gracious
graciou, gracious
gorgeou, gorgeous
gorgeous, gorgeous
gossip, gossip
gown, gown
grade, grade
grain, grain
gram(me), gram(me)
★ greedy, ★ greedy
green, green
greenhouse, greenhouse
greet, greet, greeting
greeting, greeting
★ groan, ★ groan
grocer, grocer
grope, grope
giggle, giggle
glacier, glacier
glare, glare
glance, glance
glimpse, glimpse
glitter, glitter
glow, glow
★ gentle, ★ gentle
gently, gently
genuine, genuine
geography, geography
geology, geology
geometry, geometry
germ, germ
gesture, gesture
ghost, ghost
gallery, gallery
galaxy, galaxy
★ gang, ★ gang
gaol/jail, gaol/jail
garage, garage
garbage, garbage
ga, gas
gas, gas
gasp, gasp
gather, gather
gauge, gauge
gay, gay
gaze, gaze
gear, gear
gender, gender
 gum,  gum
gun, gun
gut, gut
gatekeeper, gatekeeper
generally, generally
generative, generative
genetically, genetically
geneticist, geneticist
genome, genome
geographic, geographic
glamorou, glamorous
glamorous, glamorous
gloomines, gloominess
gloominess, gloominess
glowingly, glowingly
granny, granny
gratification, gratification
groom, groom
guardianship, guardianship
guard, guarding
guarding, guarding
habit, habit
habitat, habitat
hamper, hamper
handicap, handicap
 happen,  happen
harm, harm
harmony, harmony
harsh, harsh
heap, heap
heal, heal
health, health
healthy, healthy
hesitate, hesitate
highlight, highlight
highly, highly
hinder, hinder
hint, hint
hitherto, hitherto
★ holy, ★ holy
hono(u)r, hono(u)r
hono(u)rable, hono(u)rable
horizon, horizon
horizontal, horizontal
 hoist,  hoist
hold, hold
holder, holder
household, household
howeve, howeve
huddle, huddle
 human,  human
humanity, humanity
humble, humble
headline, headline
headquarters , headquarters 
heart, heart
heat, heat
hear, hearing
hearing, hearing
★ heave, ★ heave
heaven, heaven
heavy, heavy
 hedge,  hedge
heel, heel
height, height
heighten, heighten
heir, heir
helicopter, helicopter
hell, hell
helmet, helmet
helpful  hemisphere hence, helpful  hemisphere hence
henceforth herald, henceforth herald
herb, herb
herd, herd
heritage, heritage
★ hobby, ★ hobby
hollow, hollow
homogeneous, homogeneous
homogeneou, homogeneous
honest, honest
 hierarchy,  hierarchy
hijack, hijack
hike, hike
historical, historical
historian, historian
hinge, hinge
hip, hip
hire, hire
hop, hop
hook, hook
hormone, hormone
horn, horn
horrible, horrible
horror, horror
horsepower hose, horsepower hose
harvest, harvest
haste, haste
hasty, hasty
hatch, hatch
hatr, hatred
hatred, hatred
haul, haul
hawk, hawk
hay, hay
hazard, hazard
he, he
harassment harbo(u)r, harassment harbo(u)r
hard, hard
harden, harden
hardly, hardly
hardship, hardship
hardware, hardware
hero, hero
heroic, heroic
heroin, heroin
heroine, heroine
★ hail, ★ hail
hall, hall
halt, halt
hand, hand
handbook, handbook
handful, handful
handle, handle
handy, handy
hang, hang
ham, ham
hammer, hammer
★ hospitality, ★ hospitality
host, host
hostage, hostage
hostes, hostess
hostess, hostess
hostile, hostile
hound, hound
hover, hover
howl, howl
★ humid, ★ humid
humidity, humidity
humiliate, humiliate
humo(u)r, humo(u)r
humo(u)rous, humo(u)rous
humo(u)rou, humo(u)rous
hunt, hunt
hurl, hurl
hurricane, hurricane
hygiene, hygiene
hypocrisy, hypocrisy
hypothesi, hypothesis
hypothesis, hypothesis
hysterical, hysterical
★ hug, ★ hug
huge, huge
hum, hum
habitually, habitually
hardline, hardline
harmful, harmful
headhunter, headhunter
heavily, heavily
hierarchical, hierarchical
hindrance, hindrance
holistic, holistic
homeles, homeless
homeless, homeless
hominid, hominid
hopefully, hopefully
horrify, horrify
hostility, hostility
hugely, hugely
hunter, hunter
 intermittent  interrupt,  intermittent  interrupt
incentive, incentive
incidence, incidence
incident, incident
incidentally incline, incidentally incline
★ ideal, ★ ideal
ideology, ideology
identical, identical
identification, identification
identify, identify
identity, identity
ignorance, ignorance
ignorant, ignorant
ignore, ignore
ill, ill
illness, illness
illnes, illness
illusion, illusion
illustrate, illustrate
illustration, illustration
image, image
imagine, imagine
imaginary, imaginary
imagination, imagination
imaginative, imaginative
imitate, imitate
imitation, imitation
immediate, immediate
immerse, immerse
 immense,  immense
immigrant, immigrant
imminent, imminent
immune, immune
 impact,  impact
impair, impair
impart, impart
implement, implement
implication implicit, implication implicit
imply, imply
import, import
importance, importance
important, important
impose, impose
impres, impress
impress, impress
impression, impression
impressive, impressive
improve, improve
impulse, impulse
limitation, limitation
limit, limit, limited
limited, limited
indicate, indicate
indication, indication
indicative, indicative
★ indeed, ★ indeed
★ inde, ★ indeed
independence, independence
independent, independent
index, index
include, include
inclusive, inclusive
income, income
incorporate, incorporate
increase, increase
increasingly, increasingly
incredible, incredible
incur, incur
 ingeniou,  ingenious
 ingenious,  ingenious
ingredient, ingredient
initial, initial
initiate, initiate
initiative, initiative
industrial, industrial
industrialize, industrialize
inevitable, inevitable
 industry,  industry
indifferent, indifferent
indignant, indignant
indignation, indignation
indispensable, indispensable
individual, individual
 innocent,  innocent
innovation, innovation
infer, infer
inference, inference
inferior, inferior
influence, influence
influential, influential
inform, inform
information, information
★ invisible, ★ invisible
invoke, invoke
involve, involve
issue, issue
item, item
intend, intend
intention, intention
intense, intense
intensity, intensity
intensive, intensive
interact, interact
intercourse, intercourse
interest, interest
interior, interior
internal, internal
international, international
interpret, interpret
inhabit, inhabit
inhabitant, inhabitant
inhale, inhale
inherent, inherent
inherit, inherited, inherit
inhibit, inhibit
 indoor,  indoor
induce, induce
indulge, indulge
★inertia, ★inertia
infant, infant
infect, infect
infectious, infectious
infectiou, infectious
infinite, infinite
inflation, inflation
inflict, inflict
infrar, infrared
infrared, infrared
infrastructure, infrastructure
inner, inner
innumerable, innumerable
input, input
inquiry, inquiry
★ instal(1), ★ instal(1)
installation, installation
instal(Dment, instal(Dment
instance, instance
instant, instant
instantaneou, instantaneous
instantaneous, instantaneous
insert, insert
inside, inside
insight, insight
insist, insist
inspect, inspect
inspiration, inspiration
inspire, inspire
instruct, instruct
instruction, instruction
 instrument,  instrument
instrumental, instrumental
insult, insult
 insulate,  insulate
inject, inject
injure, injure
injury, injury
ink, ink
inland, inland
★ impatient, ★ impatient
imperative imperial, imperative imperial
impetus, impetus
impetu, impetus
★ ice, ★ ice
idiom, idiom
idle, idle
if, if
ignite, ignite
illegal, illegal
illiterate, illiterate
illuminate, illuminate
★ intact, ★ intact
interface, interface
interfere, interfere
interference, interference
intervene, intervene
 interim,  interim
intermediate, intermediate
intersection, intersection
 intermittent ,  intermittent 
 interrupt,  interrupt
 interval,  interval
interview, interview
intimate, intimate
intimidate, intimidate
intricate, intricate
intrigue, intrigue
intrinsic, intrinsic
intrude, intrude
intuition, intuition
invade, invade
invasion, invasion
invalid, invalid
invaluable, invaluable
 invent,  invent
invention, invention
inventory, inventory
inverse, inverse
invert, invert
invitation, invitation
inward, inward
 iron,  iron
irony, irony
irrespective, irrespective
irrigate, irrigate
irritate, irritate
isle, isle
isolate, isolate
ivory, ivory
idealism, idealism
idealize, idealize
ideological, ideological
illegally, illegally
illiberal, illiberal
immigration, immigration
immoral, immoral
immunity, immunity
impartial, impartial
impel, impel
impinging, impinging
imping, impinging
impossibility, impossibility
impoverished, impoverished
impoverish, impoverished
impractical, impractical
imprison, imprison
improbable, improbable
improper, improper
impulsive, impulsive
inability, inability
inaccuracy, inaccuracy
inaccurate, inaccurate
inadequacy, inadequacy
inadequate, inadequate
inappropriate, inappropriate
inarticulate, inarticulate
inborn, inborn
inbuilt, inbuilt
incite, incite
inclination, inclination
incompatible, incompatible
incompetent, incompetent
incompetently, incompetently
incomplete, incomplete
inconclusive, inconclusive
incorrectly, incorrectly
indecisive, indecisive
indefensible, indefensible
indefinitely, indefinitely
independently, independently
Indian, Indian
indicator, indicator
indictment, indictment
indifference, indifference
indirect, indirect
indirectly, indirectly
indulgence, indulgence
indulgent, indulgent
industrialization, industrialization
inedible, inedible
ineffective, ineffective
ineffectual, ineffectual
inefficient, inefficient
inequality, inequality
inescapably, inescapably
inevitably, inevitably
inexorable, inexorable
inexpressible, inexpressible
infancy, infancy
infection, infection
inferiority, inferiority
infest, infest
infirm, infirm
inflate, inflate
info, info
informal, informal
informality, informality
infringement, infringement
ingenuity, ingenuity
inherently, inherently
inherited, inherited
inheritor, inheritor
inhuman, inhuman
initially, initially
initiation, initiation
initiator, initiator
injurious, injurious
injuriou, injurious
innate, innate
innermost, innermost
innovative, innovative
innovator, innovator
inquire, inquire
insatiable, insatiable
insecurity, insecurity
insensitive, insensitive
insensitivity, insensitivity
insider, insider
insidious, insidious
insidiou, insidious
insightful, insightful
insignificant, insignificant
insistence, insistence
inspection, inspection
instantaneously, instantaneously
instantly, instantly
instill, instill
institutional, institutional
instrumentalist, instrumentalist
insufficient, insufficient
intangible, intangible
integration, integration
intellect, intellect
intellectualism, intellectualism
intellectualize, intellectualize
intensely, intensely
intensify, intensify
intentionally, intentionally
intently, intently
interaction, interaction
interactive, interactive
intermarriage, intermarriage
interpersonal, interpersonal
interplay, interplay
interpretation, interpretation
interprovincial, interprovincial
intervention, intervention
interviewee, interviewee
interviewer, interviewer
intimately, intimately
intranet, intranet
introductory, introductory
intrusion, intrusion
intuitive, intuitive
intuitively, intuitively
invalidate, invalidate
inventivenes, inventiveness
inventiveness, inventiveness
inventor, inventor
investigation, investigation
investor, investor
involuntarily, involuntarily
involvement, involvement
ion, ion
ironic, ironic
ironically, ironically
irrational, irrational
irregular, irregular
irrelevant, irrelevant
irrepressible, irrepressible
irreproducibility, irreproducibility
irresponsibility, irresponsibility
irrigation, irrigation
isolation, isolation
Italy, Italy
★ journal, ★ journal
journalist, journalist
journey, journey
judge, judge
judg(e)ment judicial, judg(e)ment judicial
jury, jury
jurisdiction, jurisdiction
justice, justice
justify, justify
★ jungle, ★ jungle
junction, junction
junior, junior
juvenile, juvenile
junk, junk
 jog,  jog
joint, joint
jolly, jolly
★ jam, ★ jam
jargon, jargon
jaw, jaw
jealou, jealous
jealous, jealous
jet, jet
jewel, jewel
jewel(le)ry, jewel(le)ry
jerk, jerk
jobless, jobless
jobles, jobless
jobseeker, jobseeker
jokingly, jokingly
journalism, journalism
journalistic, journalistic
joyfully, joyfully
judiciary, judiciary
juggle, juggle
knit, knit
kmanage, kmanage
kchoke, kchoke
kenergetic, kenergetic
★kin, ★kin
kindnes, kindness
kindness, kindness
k, king
king, king
kingdom, kingdom
kit, kit
★ knee, ★ knee
kneel, kneel
knob, knob
knot, knot
knowledge, knowledge
kid, kid
kidnap, kidnap
kidney, kidney
kill, kill
★ keen, ★ keen
keyboard, keyboard
keyword, keyword
kinship, kinship
knowledgeable, knowledgeable
label, label
lag, lag
largely, largely
lateral, lateral
latter, latter
law, law
lawsuit, lawsuit
 lead,  lead
leadership, leadership
leading, leading
lead, leading
legal, legal
legislation, legislation
legitimate, legitimate
leisure, leisure
level, level
lever, lever
levy, levy
likely, likely
likelihood, likelihood
likewise, likewise
link, link
list, list
literally, literally
literary, literary
literature, literature
★local, ★local
locality, locality
locate, locate
location, location
★ liability, ★ liability
liable, liable
liberal, liberal
liberate, liberate
license, license
★lose, ★lose
los, loss
loss, loss
low, low
lower, lower
lucrative, lucrative
lay, lay
layer, layer
layman, layman
layout, layout
★ leaf, ★ leaf
leaflet, leaflet
league, league
leak, leak
lean, lean
leap, leap
lease, lease
leather, leather
lecture, lecture
legacy, legacy
legend, legend
lend, lend
lens, lens
len, lens
lest, lest
 limb,  limb
limp, limp
linear, linear
linen, linen
liner, liner
linger, linger
linguistic, linguistic
lick, lick
lid, lid
lie, lie
life, life
lifetime, lifetime
lift, lift
liquid, liquid
liquor, liquor
litter, litter
 late,  late
lately, lately
later, later
latent, latent
latitude, latitude
laughter, laughter
launch, launch
laundry, laundry
light, light
lightning, lightning
lightn, lightning
★ labo(u)r, ★ labo(u)r
lace, lace
lack, lack
lad, lad
lamb, lamb
lame, lame
★ lane, ★ lane
lantern, lantern
lap, lap
lapse, lapse
laser, laser
lash, lash
★ look, ★ look
loom, loom
loop, loop
loose, loose
loosen, loosen
lord, lord
lorry, lorry
lottery, lottery
lively, lively
liver, liver
liv, living
living, living
loaf, loaf
loan, loan
lobby, lobby
locomotive, locomotive
lodge, lodge
lofty, lofty
log, log
long, long
longitude, longitude
 loyal,  loyal
loyalty, loyalty
lubricate, lubricate
luck, luck
lucky, lucky
★ lumber, ★ lumber
lump, lump
lunar, lunar
lung, lung
luxury, luxury
lyric, lyric
landmark, landmark
latest, latest
lawmaker, lawmaker
leader, leader
leakage, leakage
legally, legally
legislative, legislative
legislature, legislature
legitimacy, legitimacy
lender, lender
lengthy, lengthy
leniency, leniency
lenient, lenient
leverage, leverage
liberalize, liberalize
lifelike, lifelike
lifestyle, lifestyle
light-hearted, light-hearted
light-heart, light-hearted
liken, liken
limbic, limbic
lineage, lineage
linguist, linguist
lining, lining
lin, lining
listener, listener
literate, literate
livelines, liveliness
liveliness, liveliness
lockout, lockout
logicality, logicality
logo, logo
longline, longline
longstanding, longstanding
longstand, longstanding
loser, loser
low-cost, low-cost
low-density, low-density
low-level, low-level
★ magnitude, ★ magnitude
magnify, magnify
magnificent maintain, magnificent maintain
maintenance major, maintenance major
majority, majority
make, make
mediate, mediate
meditation, meditation
medium, medium
media, media
★master, ★master
masterpiece, masterpiece
mate, mate
material, material
mathematical, mathematical
mature, mature
maximum, maximum
mean, mean, means, meaning
meaning, meaning
means, means
meantime, meantime
meanwhile, meanwhile
measure, measure
management, management
mandate, mandate
manifest, manifest
manipulate, manipulate
manner, manner
margin, margin
marginal, marginal
mass, mass
mas, mass
massive, massive
massacre, massacre
★ mere, ★ mere
merely, merely
memo, memo
memorial, memorial
memory, memory
mental, mental
mention, mention
mentor, mentor
miserable, miserable
misery, misery
mislead, mislead
mix, mix
mixture, mixture
mess, mess
mes, mess
message, message
messenger, messenger
method, method
militant, militant
military, military
mind, mind
★monopoly, ★monopoly
monotonou, monotonous
monotonous, monotonous
mood, mood
 moral,  moral
morality, morality
moreover, moreover
 mostly,  mostly
mock, mock
mode, mode
model, model
moderate, moderate
modern, modern
modernization, modernization
modest, modest
modify, modify
 member,  member
membership, membership
menace, menace
mend, mend
medal, medal
medical, medical
medicine, medicine
medieval, medieval
meet, meet
 melody,  melody
melt, melt
 marathon,  marathon
march, march
marine, marine
marital, marital
marri, married
married, married
 marble,  marble
mark, mark
marvel(1ou, marvel(1ous
marvel(1ous, marvel(1ous
mask, mask
 Marxist,  Marxist
★mat, ★mat
match, match
may, may
mayor, mayor
★ mechanic, ★ mechanic
mechanical, mechanical
mechanism, mechanism
★ microphone, ★ microphone
microscope, microscope
midst, midst
migrate, migrate
mild, mild
millionaire, millionaire
mill, mill
mine, mine
mineral, mineral
mingle, mingle
miniature, miniature
minimize, minimize
minimum, minimum
minister, minister
ministry, ministry
minor, minor
minority, minority
minus, minus
minu, minus
minute, minute
merchandise , merchandise 
mercury, mercury
mercy, mercy
merge, merge
merit, merit
merry, merry
merchant, merchant
metal, metal
metaphor, metaphor
metre/mete  r     , metre/mete  r     
metric, metric
metropolitan, metropolitan
miracle, miracle
mirror, mirror
mischief, mischief
misfortune miss, misfortune miss
misfortune mis, misfortune miss
missile, missile
missing, missing
miss, missing
mission, mission
missionary , missionary 
majesty, majesty
male, male
malignant, malignant
★ machine, ★ machine
machinery, machinery
mad, mad
madam, madam
magic, magic
magistrate, magistrate
magnet, magnet
magnetic, magnetic
maiden, maiden
main, main
mainland, mainland
★ mankind, ★ mankind
manoeuvre, manoeuvre
manual, manual
manufacture, manufacture
manuscript, manuscript
 moan,  moan
mob, mob
mobile, mobile
mobilize, mobilize
module, module
mo(u)Id, mo(u)Id
★mortal, ★mortal
mortgage, mortgage
mosaic, mosaic
misunderstand, misunderstand
kmist, kmist
mistake, mistake
mistress, mistress
mistres, mistress
moist, moist
moisture, moisture
molecule     , molecule     
monarch, monarch
monetary, monetary
 momentum,  momentum
monitor, monitor
monster, monster
monument, monument
 motion,  motion
motivate, motivate
motive, motive
motor, motor
mount, mount
mourn, mourn
move, move
★ musical, ★ musical
musician, musician
mute, mute
mutter, mutter
★ much, ★ much
mud, mud
mug, mug
murder, murder
murmur, murmur
multiple, multiple
multiply, multiply
multitude, multitude
municipal, municipal
muscle, muscle
muscular, muscular
mainly, mainly
majestic, majestic
male-dominated, male-dominated
male-dominat, male-dominated
malpractice, malpractice
marginalize, marginalize
markedly, markedly
matchmaker, matchmaker
materialism, materialism
materialistic, materialistic
maturity, maturity
maximize, maximize
meaningful, meaningful
meaningfully, meaningfully
meaningless, meaningless
meaningles, meaningless
measurable, measurable
mechanistic, mechanistic
medication, medication
mediocrity, mediocrity
megalith, megalith
memorize, memorize
mentally, mentally
mercilessly, mercilessly
merger, merger
metallurgy, metallurgy
metaphysical, metaphysical
methodology, methodology
Mexican, Mexican
microbiologist , microbiologist 
microprocessor, microprocessor
 migration,  migration
mildly, mildly
militantly, militantly
millennial, millennial
millennium, millennium
mindlessly, mindlessly
mindset, mindset
miniaturization, miniaturization
minimal, minimal
mining, mining
min, mining
mischievou, mischievous
mischievous, mischievous
misconception, misconception
misdeed, misdeed
misde, misdeed
misguide, misguide
misguided, misguided
misguid, misguided
misinformation, misinformation
misinterpret, misinterpret
misinterpretation, misinterpretation
mistrust, mistrust
misuse, misuse
mobility, mobility
modestly, modestly
modesty, modesty
modification, modification
molecular, molecular
momentarily, momentarily
monarchy, monarchy
monopolize, monopolize
 misplace,  misplace
morphine, morphine
mortality, mortality
motivation, motivation
mouthpiece, mouthpiece
multimedia, multimedia
multinational, multinational
municipality, municipality
mutually, mutually
mythical, mythical
 mundane,  mundane
 mutability,  mutability
neglect, neglect
negligible, negligible
necessary, necessary
necessitate, necessitate
necessity, necessity
negative   negotiate, negative   negotiate
★ narrative, ★ narrative
narrow, narrow
nasty, nasty
nation, nation
national, national
nationality, nationality
native, native
natural, natural
nature, nature
★ nerve, ★ nerve
nervous, nervous
nervou, nervous
nevertheles, nevertheless
nevertheless, nevertheless
naval, naval
navigation, navigation
navy, navy
nearby, nearby
nearly, nearly
neat, neat
necklace, necklace
needle, needle
neighbo(u)rhood, neighbo(u)rhood
★ nest, ★ nest
net, net
network, network
neutral, neutral
Ney, Ney
★ nickname, ★ nickname
nightmare, nightmare
nominal, nominal
nominate, nominate
nostalgic, nostalgic
notable, notable
noth, nothing
nothing, nothing
notice, notice
notify, notify
notoriou, notorious
notorious, notorious
notwithstand, notwithstanding
notwithstanding, notwithstanding
nourish, nourish
novel, novel
novelty, novelty
nowaday, nowadays
nowadays, nowadays
nowhere, nowhere
 none,  none
nonsense, nonsense
nuclear, nuclear
nucleus, nucleus
nucleu, nucleus
★ nak, ★ naked
★ naked, ★ naked
nail, nail
naive, naive
namely, namely
nap, nap
naughty, naughty
☆ nuisance, ☆ nuisance
numb, numb
numerical, numerical
numerou, numerous
numerous, numerous
nursery, nursery
nurture, nurture
nut, nut
nutrition, nutrition
narrowly, narrowly
nationally  nationwide  native-born, nationally  nationwide  native-born
naturalist naturally, naturalist naturally
neatly, neatly
necessarily needlessly  negatively  negligence  neural, necessarily needlessly  negatively  negligence  neural
neurologist neurology, neurologist neurology
neuroscientist, neuroscientist
newly, newly
newsletter newsprint, newsletter newsprint
newsroom, newsroom
news-stand nightfall  nobility, news-stand nightfall  nobility
noisily, noisily
noisines, noisiness
noisiness, noisiness
nonconformist, nonconformist
nonverbal, nonverbal
non-materialistic, non-materialistic
non-standard, non-standard
normally, normally
notably, notably
noteworthy, noteworthy
notification, notification
nutrient, nutrient
object, object
objective, objective
objection  obligation, objection  obligation
oblige, oblige
obscure, obscure
observation, observation
observe, observe
obsession, obsession
obsolete, obsolete
obtain, obtain
obvious, obvious
obviou, obvious
opening, opening
open, opening
opera, opera
operate, operate
operation, operation
operational, operational
operator, operator
opinion, opinion
opportunity, opportunity
opponent, opponent
oppose, oppose
opposite, opposite
oppress, oppress
oppres, oppress
occupation, occupation
occupy, occupy
occur, occur
occurrence, occurrence
offend, offend
offer, offer
offset, offset
offspring, offspring
offspr, offspring
optimistic, optimistic
opimum, opimum
option, option
optional, optional
organ, organ
organic, organic
organism, organism
organization organize, organization organize
大 origin, 大 origin
original, original
originate, originate
 other,  other
otherwise, otherwise
outcome, outcome
outer, outer
outlet, outlet
outline, outline
outlook, outlook
output, output
outrage, outrage
outset, outset
outside, outside
outward, outward
overlap, overlap
★ overlook, ★ overlook
overseas, overseas
oversea, overseas
overturn, overturn
overwhelm, overwhelm
office, office
officer, officer
official, official
omit, omit
opaque, opaque
opt, opt
optical, optical
★ ornament, ★ ornament
orthodox, orthodox
 oral,  oral
orbit, orbit
order, order
orderly, orderly
ordinary, ordinary
orient, orient
oriental, oriental
orientation, orientation
☆ oar, ☆ oar
oath, oath
obedience, obedience
obedient, obedient
obey, obey
obesity, obesity
★ obstacle, ★ obstacle
obstruct, obstruct
obstruction, obstruction
occasion, occasion
occasional, occasional
odd, odd, odds
odds, odds
odo(u)r, odo(u)r
out, outing
outing, outing
outskirts, outskirts
outskirt, outskirts
outstanding, outstanding
outstand, outstanding
ought, ought
outbreak, outbreak
outdoor, outdoor
outfit, outfit
★ oval, ★ oval
overflow, overflow
overhaul, overhaul
overhead, overhead
overhear, overhear
overnight, overnight
overt, overt
overtake, overtake
overthrow, overthrow
overtime, overtime
☆ owe, ☆ owe
owing, owing
ow, owing
owner, owner
ownership, ownership
0Zone, 0Zone
objectionable, objectionable
objectivity, objectivity
observable, observable
observer, observer
obsess, obsess, obsessed
obses, obsess
obsessed, obsessed
obtainable, obtainable
obviously, obviously
oceanic, oceanic
offline, offline
off-the-cuff, off-the-cuff
oncogene, oncogene
onerou, onerous
onerous, onerous
one-shot, one-shot
online, online
onward, onward
openly, openly
open-acces, open-access
open-access, open-access
operative, operative
opposition, opposition
oppression, oppression
optimism, optimism
orchestral, orchestral
orchestrate, orchestrate
organizational, organizational
originally, originally
ornate, ornate
outcry, outcry
outdate, outdate
outlive, outlive
outsider, outsider
outsize, outsize
outweigh, outweigh
out-of-town, out-of-town
ovary, ovary
overbid, overbid
overburden, overburden
overcharge, overcharge
overdue, overdue
overestimate, overestimate
overfish, overfish
overly, overly
overrate, overrate
overrule, overrule
overshadow, overshadow
oversize, oversize
overstate, overstate
overstep, overstep
overvalue, overvalue
overwhelmingly, overwhelmingly
overwork, overwork
★ pace, ★ pace
panel, panel
panorama, panorama
prove, prove
provide, provide
provid, provided
provided, provided
★ patch, ★ patch
patent, patent
pattern, pattern
pay, pay
payment, payment
peculiar, peculiar
peer, peer
per, per
perceive, perceive
percentage, percentage
perfect, perfect
 paragraph,  paragraph
paralyse, paralyse
parallel, parallel
part, part
partial, partial
participant, participant
participate, participate
particle, particle
particular, particular
partly, partly
partner, partner
passion, passion
passive, passive
personal, personal
personality, personality
personnel, personnel
perform, perform
performance period, performance period
periodical, periodical
perish, perish
perpetual, perpetual
perplex, perplex
perspective, perspective
pessimistic, pessimistic
petition, petition
phase, phase
phenomenon, phenomenon
philosopher, philosopher
philosophy, philosophy
phrase, phrase
physical, physical
physician, physician
pierce, pierce
plausible, plausible
plea, plea
plead, plead
plot, plot
policy, policy
polite, polite
political, political
politician, politician
politics, politics
politic, politics
poll, poll
ponder, ponder
★ prescribe, ★ prescribe
prescrption, prescrption
presence, presence
present, present
presently, presently
preserve, preserve
preside, preside
press, press
pres, press
pressure, pressure
prestige, prestige
presumably, presumably
presume, presume
prevent, prevent
previou, previous
previous, previous
prey, prey
poverty, poverty
power, power
practical, practical
practice, practice
practise, practise
practitioner, practitioner
preach, preach
precede, precede
precaution, precaution
precedent, precedent
preced, preceding
preceding, preceding
precious, precious
preciou, precious
precise, precise
precision , precision 
★ pose, ★ pose
position, position
positive, positive
posses, possess
possess, possess
possession, possession
★ primary, ★ primary
prime, prime
primitive, primitive
principal, principal
principle, principle
psychiatry, psychiatry
psychology, psychology
k  portion, k  portion
possibility, possibility
possible, possible
potential, potential
pour, pour
prior, prior
priority, priority
 privacy,  privacy
 private,  private
 privilege,  privilege
prudent, prudent
predecessor, predecessor
predict, predict
preface, preface
preferable, preferable
preference, preference
prejudice, prejudice
preliminary, preliminary
premier, premier
premise, premise
premium, premium
preparation, preparation
★ purchase, ★ purchase
pursue, pursue
pursuit, pursuit
puzzle, puzzle
  polish,   polish
point, point
propel, propel
proper, proper
property, property
proportion, proportion
proposal, proposal
propose, propose
proposition, proposition
prospect, prospect
prospective, prospective
protocol, protocol
proximate, proximate
persecute, persecute
persevere, persevere
persist, persist
persuade, persuade
persuasion, persuasion
